"Date","Open","High","Low","Close","Volume","OpenInt"
05/31/2001,97.68750,97.68750,97.68750,97.68750,1,1
06/01/2001,98.50000,98.50000,98.50000,98.50000,0,1
06/04/2001,98.75000,98.75000,98.75000,98.75000,0,1
06/05/2001,99.15620,99.15620,99.15620,99.15620,0,1
06/06/2001,99.18750,99.18750,99.18750,99.18750,0,1
06/07/2001,98.59380,98.59380,98.59380,98.59380,0,1
06/08/2001,98.40620,98.40620,98.40620,98.40620,0,1
06/11/2001,98.90620,98.90620,98.90620,98.90620,0,1
06/12/2001,99.37500,99.37500,99.37500,99.37500,0,1
06/13/2001,99.34380,99.34380,99.34380,99.34380,0,1
06/14/2001,99.65620,99.65620,99.65620,99.65620,0,1
06/15/2001,99.21880,99.21880,99.21880,99.21880,0,1
06/18/2001,99.06250,99.06250,99.06250,99.06250,0,1
06/19/2001,99.18750,99.18750,99.18750,99.18750,0,1
06/20/2001,99.50000,99.50000,99.50000,99.50000,0,1
06/21/2001,99.81250,99.81250,99.81250,99.81250,0,1
06/22/2001,100.68750,100.68750,100.68750,100.68750,0,1
06/25/2001,100.50000,100.50000,100.50000,100.50000,0,1
06/26/2001,99.75000,99.75000,99.75000,99.75000,0,1
06/27/2001,100.00000,100.00000,100.00000,100.00000,0,1
06/28/2001,99.21880,99.21880,99.21880,99.21880,281000,1
06/29/2001,98.37500,98.37500,98.37500,98.37500,0,1
07/02/2001,98.96880,98.96880,98.96880,98.96880,0,1
07/03/2001,98.46880,98.46880,98.46880,98.46880,0,1
07/05/2001,98.06250,98.06250,98.06250,98.06250,0,1
07/06/2001,98.40620,98.40620,98.40620,98.40620,0,1
07/09/2001,98.90620,98.90620,98.90620,98.90620,0,1
07/10/2001,99.34380,99.34380,99.34380,99.34380,0,1
07/11/2001,99.09380,99.09380,99.09380,99.09380,0,1
07/12/2001,99.68750,99.68750,99.68750,99.68750,0,1
07/13/2001,99.84380,99.84380,99.84380,99.84380,0,1
07/16/2001,100.37500,100.37500,100.37500,100.37500,0,1
