"Date","Open","High","Low","Close","Volume","OpenInt"
11/01/2001,109.00000,109.00000,107.87500,107.87500,2,0
11/02/2001,106.34380,106.34380,106.34380,106.34380,0,0
11/05/2001,107.09380,107.09380,107.09380,107.09380,0,0
11/06/2001,107.09380,107.09380,107.09380,107.09380,0,0
11/07/2001,108.25000,108.25000,108.25000,108.25000,0,0
11/08/2001,107.28120,107.28120,107.28120,107.28120,0,0
11/09/2001,107.21880,107.21880,107.21880,107.21880,0,0
11/13/2001,106.59380,106.59380,106.59380,106.59380,0,0
11/14/2001,105.40620,105.40620,105.40620,105.40620,0,0
11/15/2001,103.18750,103.18750,103.18750,103.18750,0,0
11/16/2001,101.81250,101.81250,101.81250,101.81250,0,0
11/19/2001,103.15620,103.15620,103.15620,103.15620,0,0
11/20/2001,101.84380,101.84380,101.84380,101.84380,0,0
11/21/2001,100.84380,100.84380,100.84380,100.84380,0,0
11/23/2001,100.40620,100.40620,100.40620,100.40620,0,0
11/26/2001,100.31250,100.31250,100.31250,100.31250,1,1
11/27/2001,100.56250,100.56250,100.56250,100.56250,0,0
11/28/2001,100.56250,100.56250,100.56250,100.56250,0,0
11/29/2001,101.84380,101.84380,101.84380,101.84380,0,1
11/30/2001,101.59380,101.59380,101.59380,101.59380,0,0
12/03/2001,102.00000,102.00000,102.00000,102.00000,0,0
12/04/2001,102.90620,102.90620,102.90620,102.90620,0,0
12/05/2001,100.53120,100.53120,100.53120,100.53120,0,0
12/06/2001,99.46880,99.46880,99.46880,99.46880,0,0
12/07/2001,97.31250,97.31250,97.31250,97.31250,0,0
12/10/2001,97.78120,97.78120,97.78120,97.78120,0,0
12/11/2001,98.18750,98.18750,98.18750,98.18750,0,0
12/12/2001,99.18750,99.18750,99.18750,99.18750,0,0
12/13/2001,98.25000,98.25000,98.25000,98.25000,0,0
12/14/2001,97.53120,97.53120,97.53120,97.53120,0,1
12/17/2001,97.15620,97.15620,97.15620,97.15620,50,50
12/18/2001,98.37500,98.37500,98.37500,98.37500,0,50
12/19/2001,99.31250,99.31250,99.31250,99.31250,0,50
12/20/2001,99.25000,99.25000,99.25000,99.25000,0,50
12/21/2001,98.93750,98.93750,98.93750,98.93750,0,50
12/24/2001,98.53120,98.53120,98.53120,98.53120,0,50
12/26/2001,98.15620,98.15620,98.15620,98.15620,0,50
12/27/2001,98.75000,98.75000,98.75000,98.75000,0,50
12/28/2001,98.28120,98.28120,98.28120,98.28120,20,65
12/31/2001,99.31250,99.31250,99.31250,99.31250,0,65
01/02/2002,97.87500,97.87500,97.87500,97.87500,0,65
01/03/2002,98.25000,98.25000,98.25000,98.25000,71,52
01/04/2002,97.96880,97.96880,97.96880,97.96880,0,52
01/07/2002,99.18750,99.18750,99.18750,99.18750,0,52
01/08/2002,99.12500,99.12500,99.12500,99.12500,0,52
01/09/2002,99.25000,99.25000,99.25000,99.25000,0,52
01/10/2002,100.56250,100.56250,100.56250,100.56250,0,52
01/11/2002,101.12500,101.12500,101.12500,101.12500,5,52
01/14/2002,100.93750,100.93750,100.93750,100.93750,0,52
01/15/2002,101.56250,101.56250,101.56250,101.56250,0,52
01/16/2002,101.43750,101.43750,101.43750,101.43750,12,59
01/17/2002,100.50000,100.71880,100.50000,100.71880,1,59
01/18/2002,101.34380,101.34380,101.34380,101.34380,0,59
01/22/2002,101.21880,101.21880,101.21880,101.21880,0,60
01/23/2002,99.93750,99.93750,99.93750,99.93750,30,60
01/24/2002,100.46880,100.46880,100.00000,100.00000,86,129
01/25/2002,99.90620,99.90620,99.90620,99.90620,10,139
01/28/2002,99.59380,100.06250,99.59380,100.06250,1,140
01/29/2002,101.00000,101.00000,101.00000,101.00000,0,140
01/30/2002,101.00000,101.00000,101.00000,101.00000,0,140
01/31/2002,100.68750,100.68750,100.68750,100.68750,0,140
02/01/2002,101.15620,101.15620,101.15620,101.15620,50,190
02/04/2002,102.00000,102.00000,101.93750,101.93750,23,213
02/05/2002,101.84380,101.84380,101.84380,101.84380,50,203
02/06/2002,101.43750,101.43750,101.43750,101.43750,0,203
02/07/2002,101.06250,101.06250,101.06250,101.06250,1320,1261
02/08/2002,101.59380,101.59380,101.59380,101.59380,1371,2233
02/11/2002,101.31250,101.31250,101.31250,101.31250,1000,3233
02/12/2002,100.56250,100.56250,100.56250,100.56250,1204,4193
02/13/2002,100.46880,100.46880,100.46880,100.46880,4910,7138
02/14/2002,101.12500,101.12500,101.12500,101.12500,200,7163
02/15/2002,101.96880,101.96880,101.96880,101.96880,166,7173
02/19/2002,101.53120,101.65620,101.53120,101.65620,414,7163
02/20/2002,102.12500,102.12500,101.65620,101.68750,2807,9770
02/21/2002,101.68750,101.96880,101.68750,101.96880,10180,16622
02/22/2002,102.62500,102.68750,102.40620,102.43750,9697,22726
02/25/2002,102.31250,102.31250,102.09380,102.25000,1987,24264
02/26/2002,102.00000,102.40620,101.40620,101.43750,4097,26244
02/27/2002,102.09380,102.21880,101.75000,102.21880,5981,29190
02/28/2002,102.18750,102.18750,101.65620,101.81250,216,29277
03/01/2002,101.59380,101.59380,100.68750,100.75000,107,29203
03/04/2002,100.53120,100.65620,100.09380,100.65620,89,29203
03/05/2002,100.46880,100.87500,100.31250,100.84380,87,29201
03/06/2002,100.84380,100.84380,100.28120,100.28120,542,29203
03/07/2002,99.43750,100.00000,98.65620,98.65620,985,29472
03/08/2002,98.53120,98.53120,97.87500,97.87500,1922,29589
03/11/2002,97.84380,97.84380,97.84380,97.84380,86,29616
03/12/2002,97.90620,98.40620,97.81250,97.87500,299,29778
03/13/2002,97.96880,98.21880,97.56250,98.09380,856,29766
03/14/2002,97.25000,97.53120,96.78120,96.78120,210,29778
03/15/2002,96.21880,97.78120,96.21880,97.53120,299,29783
03/18/2002,98.18750,98.21880,97.50000,98.06250,127,29854
03/19/2002,97.87500,98.43750,97.50000,97.71880,34,29844
03/20/2002,98.21880,98.21880,96.81250,96.90620,1565,30408
03/21/2002,97.06250,97.37500,96.53120,97.34380,154,30529
03/22/2002,97.12500,97.34380,96.78120,97.09380,239,30653
03/25/2002,96.65620,97.25000,96.62500,97.21880,223,30656
03/26/2002,97.28120,98.18750,96.93750,97.93750,278,30659
03/27/2002,97.96880,98.21880,97.81250,97.96880,65,30700
03/28/2002,97.90620,97.90620,96.68750,97.12500,380,30469
04/01/2002,97.46880,97.68750,97.00000,97.21880,238,30696
04/02/2002,97.65620,98.25000,96.90620,98.15620,4202,31727
04/03/2002,98.09380,98.75000,97.84380,98.75000,808,31833
04/04/2002,98.71880,99.25000,98.71880,98.87500,1280,31959
04/05/2002,99.37500,99.65620,98.75000,99.53120,2388,32985
04/08/2002,99.25000,99.40620,99.00000,99.15620,155,32962
04/09/2002,98.90620,99.43750,98.90620,99.43750,171,32844
04/10/2002,99.50000,99.65620,98.96880,99.18750,1051,32789
04/11/2002,98.90620,99.87500,98.90620,99.53120,1116,33250
04/12/2002,99.78120,100.03120,99.18750,99.87500,2938,32791
04/15/2002,100.21880,100.37500,99.90620,100.21880,2312,32874
04/16/2002,99.75000,99.90620,99.21880,99.81250,2135,33737
04/17/2002,99.31250,99.40620,98.78120,98.93750,3218,35600
04/18/2002,98.62500,100.00000,98.59380,99.15620,5336,38380
04/19/2002,99.56250,99.56250,98.93750,99.43750,462,38532
04/22/2002,99.53120,99.65620,99.40620,99.62500,526,38898
04/23/2002,99.96880,100.00000,99.62500,99.81250,699,39143
04/24/2002,100.34380,100.68750,99.84380,100.62500,2765,40156
04/25/2002,100.62500,101.09380,100.50000,100.68750,3580,40979
04/26/2002,100.68750,101.15620,100.40620,101.09380,1552,41326
04/29/2002,101.09380,101.12500,100.68750,100.84380,3120,43156
04/30/2002,100.90620,101.25000,100.65620,101.18750,1041,43747
05/01/2002,101.21880,101.93750,101.15620,101.56250,5251,45631
05/02/2002,101.56250,101.56250,100.96880,101.03120,4004,47574
05/03/2002,101.21880,101.81250,101.00000,101.56250,2461,48216
05/06/2002,101.46880,101.65620,101.40620,101.46880,4323,47149
05/07/2002,101.46880,101.68750,101.18750,101.43750,8900,46632
05/08/2002,101.21880,101.21880,99.87500,99.96880,6688,48672
05/09/2002,100.18750,100.43750,99.65620,100.37500,7828,50210
05/10/2002,100.31250,100.90620,100.00000,100.90620,3330,49151
05/13/2002,100.62500,100.75000,99.68750,99.87500,2362,49592
05/14/2002,99.03120,99.81250,98.68750,98.96880,6881,49351
05/15/2002,99.03120,99.40620,98.81250,99.21880,9208,49208
05/16/2002,99.18750,99.81250,99.18750,99.68750,7614,48592
05/17/2002,99.53120,99.53120,98.78120,99.03120,6239,50138
05/20/2002,99.18750,99.68750,99.18750,99.65620,23911,51068
05/21/2002,99.46880,100.18750,99.37500,100.09380,12705,57250
05/22/2002,100.18750,100.75000,100.18750,100.65620,24937,65199
05/23/2002,100.34380,101.40620,100.06250,100.15620,51198,93645
05/24/2002,100.21880,100.65620,100.06250,100.37500,40338,111948
05/28/2002,100.06250,100.68750,99.87500,100.34380,107921,163982
05/29/2002,100.31250,101.03120,100.25000,100.87500,124043,230341
05/30/2002,100.31250,101.46880,100.31250,101.28120,79591,264069
05/31/2002,101.40620,101.68750,100.59380,101.12500,241086,300358
06/03/2002,101.00000,101.53120,100.43750,101.18750,173059,317172
06/04/2002,101.46880,101.96880,101.09380,101.34380,211161,328105
06/05/2002,101.12500,101.28120,100.65620,100.84380,191097,336653
06/06/2002,100.78120,101.62500,100.46880,101.34380,236931,358200
06/07/2002,101.46880,101.90620,100.56250,100.78120,279825,372607
06/10/2002,100.62500,101.37500,100.59380,101.18750,172278,374695
06/11/2002,101.21880,101.93750,100.75000,101.81250,186662,382035
06/12/2002,101.84380,102.31250,101.59380,102.18750,211049,388002
06/13/2002,102.06250,102.93750,101.84380,102.56250,233785,388483
06/14/2002,102.65620,104.15620,102.65620,103.87500,251121,393728
06/17/2002,103.87500,104.03120,103.03120,103.12500,185169,396857
06/18/2002,103.28120,103.93750,103.00000,103.21880,196161,403128
06/19/2002,103.46880,104.46880,103.43750,104.34380,213497,399569
06/20/2002,104.37500,104.50000,103.28120,103.31250,243530,398659
06/21/2002,103.71880,104.21880,103.37500,104.12500,141972,404990
06/24/2002,104.06250,104.65620,103.09380,103.25000,237751,403504
06/25/2002,103.25000,103.50000,102.59380,103.18750,245810,403555
06/26/2002,104.12500,105.50000,103.81250,104.21880,319827,402888
06/27/2002,103.93750,104.18750,102.59380,102.90620,310749,404539
06/28/2002,102.71880,103.31250,102.43750,102.78120,190159,399837
07/01/2002,102.93750,103.37500,102.25000,102.93750,163857,406801
07/02/2002,103.34380,103.96880,103.06250,103.71880,203530,396541
07/03/2002,103.84380,103.96880,103.46880,103.71880,134151,392620
07/05/2002,103.56250,103.59380,102.59380,102.65620,97464,391765
07/08/2002,102.65620,103.34380,102.62500,103.00000,129772,389030
07/09/2002,103.12500,104.09380,102.71880,103.81250,226106,395571
07/10/2002,103.93750,105.15620,103.56250,104.78120,273290,392945
07/11/2002,104.84380,105.93750,104.65620,105.09380,360555,395550
07/12/2002,104.65620,105.65620,104.50000,105.25000,210932,392802
07/15/2002,105.43750,105.75000,104.50000,104.84380,205507,393415
07/16/2002,104.56250,105.12500,103.59380,103.78120,295643,399022
07/17/2002,103.93750,104.31250,103.21880,104.21880,268541,392493
07/18/2002,104.09380,104.78120,103.68750,104.56250,232240,390098
07/19/2002,104.56250,105.59380,104.53120,105.15620,204765,392131
07/22/2002,105.59380,106.40620,105.28120,106.12500,264745,396026
07/23/2002,106.25000,106.56250,105.43750,106.21880,262167,400449
07/24/2002,106.28120,107.81250,105.21880,105.93750,380257,397320
07/25/2002,105.50000,106.46880,105.31250,106.18750,287697,399251
07/26/2002,106.09380,106.59380,105.59380,105.90620,178453,402807
07/29/2002,105.68750,105.87500,104.28120,104.59380,221327,405386
07/30/2002,104.59380,105.18750,104.31250,104.68750,230562,401638
07/31/2002,104.59380,106.21880,104.53120,105.93750,258188,406280
08/01/2002,105.90620,106.43750,105.65620,106.25000,181542,401972
08/02/2002,106.37500,107.87500,106.31250,107.71880,252918,407643
08/05/2002,107.40620,108.31250,107.37500,107.93750,201608,400581
08/06/2002,108.15620,108.28120,106.71880,106.84380,185182,395507
08/07/2002,107.00000,107.84380,106.84380,107.53120,209790,393067
08/08/2002,107.37500,107.46880,106.71880,107.03120,181376,391310
08/09/2002,107.28120,108.81250,107.06250,108.62500,246917,397542
08/12/2002,108.75000,109.71880,108.50000,109.31250,192414,391260
08/13/2002,109.31250,110.65620,109.12500,110.25000,241831,400977
08/14/2002,110.65620,112.37500,110.46880,111.18750,406245,412132
08/15/2002,110.56250,111.12500,109.53120,110.06250,276047,388988
08/16/2002,110.00000,110.43750,108.40620,108.56250,252795,377887
08/19/2002,108.65620,109.03120,108.25000,108.90620,191434,367019
08/20/2002,109.00000,110.28120,108.84380,110.06250,215854,374096
08/21/2002,110.15620,110.25000,109.09380,109.78120,206940,361894
08/22/2002,109.56250,109.68750,108.62500,108.84380,192050,361448
